slug,name,url
netloop,"Niftosoft NetLoop",https://netloop.netlify.app
44nifty,"44Nifty.com - Ringmaster",https://44nifty.com
flutteristhebest,"flutteristhebest",https://flutteristhebest.neocities.org/
absoluterealm,"the absolute realm",https://theabsoluterealm.com/
tripixel,"triPixel",https://tripixel.neocities.org/
lime360,"lime360's website",https://lime360.neocities.org/
arandomsite,"ARandomInternetUser",https://arandomsite.neocities.org/
fin600,"fin600",https://fin600.neocities.org
sphurlsmith,"StephenTheWizard",http://sphurlsmith.neocities.org
brisray,"Ray's Miscellany",https://brisray.com/
